ID,Title,Director,ReleaseDate
2baf70d1-42bb-4437-b551-e5fed5a87abe,Castle in the Sky,Hayao Miyazaki,1986
12cfb892-aac0-4c5b-94af-521852e46d6a,Grave of the Fireflies,Isao Takahata,1988
58611129-2dbc-4a81-a72f-77ddfc1b1b49,My Neighbor Totoro,Hayao Miyazaki,1988
ea660b10-85c4-4ae3-8a5f-41cea3648e3e,Kiki's Delivery Service,Hayao Miyazaki,1989
4e236f34-b981-41c3-8c65-f8c9000b94e7,Only Yesterday,Isao Takahata,1991
ebbb6b7c-945c-41ee-a792-de0e43191bd8,Porco Rosso,Hayao Miyazaki,1992
1b67aa9a-2e4a-45af-ac98-64d6ad15b16c,Pom Poko,Isao Takahata,1994
ff24da26-a969-4f0e-ba1e-a122ead6c6e3,Whisper of the Heart,Yoshifumi Kondō,1995
0440483e-ca0e-4120-8c50-4c8cd9b965d6,Princess Mononoke,Hayao Miyazaki,1997
45204234-adfd-45cb-a505-a8e7a676b114,My Neighbors the Yamadas,Isao Takahata,1999
dc2e6bd1-8156-4886-adff-b39e6043af0c,Spirited Away,Hayao Miyazaki,2001
90b72513-afd4-4570-84de-a56c312fdf81,The Cat Returns,Hiroyuki Morita,2002
cd3d059c-09f4-4ff3-8d63-bc765a5184fa,Howl's Moving Castle,Hayao Miyazaki,2004
112c1e67-726f-40b1-ac17-6974127bb9b9,Tales from Earthsea,Gorō Miyazaki,2006
758bf02e-3122-46e0-884e-67cf83df1786,Ponyo,Hayao Miyazaki,2008
2de9426b-914a-4a06-a3a0-5e6d9d3886f6,Arrietty,Hiromasa Yonebayashi,2010
45db04e4-304a-4933-9823-33f389e8d74d,From Up on Poppy Hill,Gorō Miyazaki,2011
67405111-37a5-438f-81cc-4666af60c800,The Wind Rises,Hayao Miyazaki,2013
578ae244-7750-4d9f-867b-f3cd3d6fecf4,The Tale of the Princess Kaguya,Isao Takahata,2013
5fdfb320-2a02-49a7-94ff-5ca418cae602,When Marnie Was There,Hiromasa Yonebayashi,2014
d868e6ec-c44a-405b-8fa6-f7f0f8cfb500,The Red Turtle,Michaël Dudok de Wit,2016
790e0028-a31c-4626-a694-86b7a8cada40,Earwig and the Witch,Gorō Miyazaki,2021
